_id,company_id,company_name,company_type,business_type_id,business_category,business_type,registered_capital,total_income,net_profit,total_assets,equity,liability,total_expense,debt_ratio,equity_ratio,debt_to_income_ratio,debt_to_equity_ratio,roa,roe,profit_margin,district
64b75d11aa2d4f22592dbb52,1.06E+11,จิระพัชร์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,1145531.69,243796.47,950124.02,815831.28,134292.74,901735.22,0.141342327,0.858657673,0.117231798,0.164608471,25.65943654,29.88319717,21.28238547,เขตบางกะปิ
64b75d11aa2d4f22592dbb53,1.06E+11,จี.ที.เอ็ม.โฮลดิ้งส์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,50000000,127350.84,-13169815.18,80225451.33,-62184143.12,142409594.5,13297166.02,1.775117398,-0.775117398,1118.246212,-2.29012715,-16.41600634,21.17873548,-10341.36499,เขตราชเทวี
64b75d11aa2d4f22592dbb54,1.06E+11,จีเคบี แอสเซทส์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,30000000,6460777.6,-9623916.69,111157127.6,-10800620.19,121957747.8,16084694.29,1.097165341,-0.097165341,18.87663612,-11.29173563,-8.657939349,89.10522285,-148.9591081,เขตบางรัก
64b75d11aa2d4f22592dbb55,1.06E+11,จีไอซี แมเนจเมนท์ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,4000000,2153055.11,6809.08,6829723.96,-53245.03,6882968.99,2146246.03,1.007796074,-0.007796074,3.196838278,-129.2696988,0.099697734,-12.78819826,0.316252007,เขตห้วยขวาง
64b75d11aa2d4f22592dbb56,1.06E+11,จุฑามาศ กรุ๊ป จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,3000000,262617.08,-1093469.55,415515.7,-95295.46,510811.16,1356086.63,1.229342622,-0.229342622,1.945079734,-5.360288517,-263.1596231,1147.451883,-416.3741178,เขตหลักสี่
64b75d11aa2d4f22592dbb57,8.36E+11,ชนาลัย การ์เด้น รีสอร์ท  จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,52000000,6826961.17,-35346900.85,67607771.6,15576724.04,52031047.56,42173862.02,0.769601576,0.230398424,7.621406694,3.340307463,-52.28230426,-226.9212754,-517.7545319,เขตจตุจักร
64b75d11aa2d4f22592dbb58,8.36E+11,ชนาลัย ฟลอร่า รีสอร์ท  จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,30000000,1352021.5,-33156607.59,258357334,-11838861.48,270196195.5,34508629.09,1.045823594,-0.045823594,199.846079,-22.82281923,-12.83362352,280.0658462,-2452.372805,เขตจตุจักร
64b75d11aa2d4f22592dbb59,1.06E+11,ชนาลัย ฮิลล์ไซด์ รีสอร์ท จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,30000000,7116508.6,185619.75,34322289.45,-25668108.68,59990398.13,6930888.85,1.747855376,-0.747855376,8.429751371,-2.337156932,0.54081401,-0.723153203,2.608297979,เขตจตุจักร
64b75d11aa2d4f22592dbb5a,1.06E+11,ชนาลัย โรแมนติกา รีสอร์ท  จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,95000000,2380432.38,-12659351.52,92514063.11,83900266.47,8613796.64,15039783.9,0.09310797,0.90689203,3.618584889,0.102667095,-13.68370504,-15.08857129,-531.8089111,เขตจตุจักร
64b75d11aa2d4f22592dbb5b,1.06E+11,ชวริน จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1453000000,155454925.5,53232260.13,1066358115,183960104.8,882398010.2,102222665.4,0.8274875,0.1725125,5.676230633,4.796681385,4.9919684,28.9368503,34.24289064,เขตวัฒนา
64b75d11aa2d4f22592dbb5c,1.06E+11,ชานา แคปปิตอล จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,3000000,14226666.32,-2091591.46,191759462.2,12669819.65,179089642.6,16318257.78,0.933928582,0.066071418,12.58830695,14.13513748,-1.090737029,-16.50845488,-14.70190847,เขตวัฒนา
64b75d11aa2d4f22592dbb5d,1.06E+11,ชาวเกาะ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,12000000,271027.58,151833.26,1620375.61,-12104859.48,13725235.09,119194.32,8.470403409,-7.470403409,50.6414701,-1.13386158,9.370250889,-1.254316585,56.02133185,เขตบางกะปิ
64b75d11aa2d4f22592dbb5e,1.06E+11,ชำนาญ เพลส จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,23697812.78,-26158240.02,179275116.5,-32801370.45,212076487,49856052.8,1.182966666,-0.182966666,8.949200879,-6.465476413,-14.5911159,79.74739976,-110.3825077,เขตวังทองหลาง
64b75d11aa2d4f22592dbb5f,1.06E+11,ชินกิจ จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,60000000,7540674.02,-251249.32,420070639.1,416816420.4,3254218.7,7791923.34,0.007746837,0.992253163,0.431555414,0.007807319,-0.059811207,-0.060278172,-3.331921249,เขตราชเทวี
64b75d11aa2d4f22592dbb60,1.06E+11,ชินจำเรียง จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000,1927606.77,-5699497.2,50339917.53,-6451829.47,56791747,7627103.97,1.128165277,-0.128165277,29.46230937,-8.802425307,-11.32202332,88.33924124,-295.6773803,เขตป้อมปราบศัตรูพ่าย
64b75d11aa2d4f22592dbb61,1.06E+11,ชีวาศรม อินเตอร์เนชั่นแนล เฮลท์ รีสอร์ท จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,1000000000,85105018.53,-260999449.9,1489413305,1197277415,292135890,346104468.4,0.196141587,0.803858413,3.432651741,0.244000168,-17.52364163,-21.79941312,-306.6792704,เขตวัฒนา
64b75d11aa2d4f22592dbb62,1.06E+11,ชุติกรุ๊ป จำกัด,บริษัทจำกัด,55101,ที่พักแรมและบริการด้านอาหาร,โรงแรม รีสอร์ทและห้องชุด,4000000,196035.54,-2304397.52,2948191.15,-4571158.85,7519350,2500433.06,2.55049609,-1.55049609,38.35707546,-1.644954867,-78.1630974,50.41167012,-1175.499871,เขตคลองสาน
